topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR,label,lb_anoosha,lb_nishant,lb_zheyuan,is_same
Vaccine,CovidHoax,1294984802890911746,./data_Vaccine/CovidHoax/tweets3/Efi1z_iXsAICXnH.jpg,./annotation_data/Vaccine/Efi1z_iXsAICXnH.jpg,"States are stock piling food in empty arenas, getting ready for #CivilWar the Elite #DivideAndConquer #Riots #RaceWars #NWO is here! #SnakePoem #TrojanHorse #CovidHoax 
🔥NEVER LOCKED UP #HILLARY, AND HE NEVER WILL! 🤬🔥 https://t.co/lmhif2oU76"," Operation Mockingbird Public Perception Management Programming FOx NEWS CNN CIA Project  Fake News 
",Public in Project Fake News,0.0,0,0,1,0
Political,maga,1297377429405614081,./data_Political/maga/tweets4/EgE11wjUcAA4FsE.jpg,./annotation_data/Political/EgE11wjUcAA4FsE.jpg,.@realDonaldTrump #MAGA She’s known you ALL your life. Speaking candidly. https://t.co/1a1eOSQ7if," reobhan YOU CANT TRUST HIM SECRET AUDIO OF TRUMPS SISTER 
",Em TRUST HIM SECRET AUDIO OF OF ae rig aA Se,0.0,1,1,0,0
Mask,masks,1289427764341166080,./data_Mask/masks/tweets1/EeT3toLVAAAv1EA.jpg,./annotation_data/Mask/EeT3toLVAAAv1EA.jpg,I #feel like #crap but #alive so im #happy for #that. Have to #shop then #get on with more #masks. Cant #wait. https://t.co/54ZhuA1Zis," WERK 
",,0.0,2,1,0,0
Vaccine,CoronavirusVaccine,1295569664861380608,./data_Vaccine/CoronavirusVaccine/tweets3/EfrI7yGUEAAyPGX.jpg,./annotation_data/Vaccine/EfrI7yGUEAAyPGX.jpg,"are you getting it now?
see how this game is played?
rinse and repeat in every country on earth..
#CoronavirusVaccine https://t.co/jMrsw5iDcQ"," No influenza deaths recorded in Australia so far this winter AUGUST 17 2020 426pm WATCH VIDEO THE NEWSCOMAU  150 Can you catch COVID19 twice 
",No influenza in so far this winter AUGUST WATCH ae aa VIDEO ta ae ae ae We Can you catch twice of,2.0,0,0,2,0
Boomer,karen,1297799651899449346,./data_Boomer/karen/tweets4/EgK15rHWAAAshUU.jpg,./annotation_data/Boomer/EgK15rHWAAAshUU.jpg,"@thekjohnston Oh look, a bored, white, jobless but probably unemployable attention-seeker #karen https://t.co/9t13yWKnDD"," Groundbreaking 
",He wy,0.0,2,0,0,0
Political,Trump2020,1298444723837964289,./data_Political/Trump2020/tweets4/EgUAmGhWoAU7E2o.jpg,./annotation_data/Political/EgUAmGhWoAU7E2o.jpg,#Trump2020Landslide  #Trump2020 #Trump the war is coming..  get ready to defend this beautiful land.. https://t.co/varRZ3pY0W," ll  55 950 PM Mon Aug 24 Mike Kaminsky v Katy Krasnow Hickman County Antifa 17h Election Day nears Comrades Prepare to defend your rights ANTIFA COMRADES ON NOV 4 DONT FORGET TO DISGUISE YOURSELVES AS PATRIOTSTRUMP SUPPORTERS WEAR MAGA HATS USA FLAGS 3ER INSIGNIAS A CONVINCING POLICE UNIFORM IS EVEN BETTER THIS WAY POLICE AND PATRIOTS RESPONDING TO US WONT KNOW WHO THEIR ENEMIES ARE AND ONLOOKERS AND THE MEDIA WILL THINK THERE ARE TRUMP SUPPORTERS RIOTING SO ITS HARDER TO TURN POPULAR OPINION AGAINST US Type Message Me We O GIF  
",Ce on County PROSE Tae nese ON DONT FORGET TO DISGUISE YOURSELVES AS Me cee en Ce POLICE UNIFORM IS EVEN BETTER Od,2.0,1,2,2,0
Political,Trump2020,1290096753144807425,./data_Political/Trump2020/tweets1/EedYKPYXkAAonhv.jpg,./annotation_data/Political/EedYKPYXkAAonhv.jpg,"@RepAdamSchiff @Gerrrrrrrr8 Let me make this #PerfectlyClear
#Trump2020
#GodBlessAmerica 
#GodBlessPresidentTrump https://t.co/YZE1LMTPkv"," Its no longer Republicans versus the Democrats its America versus socialism House Majority Leader  Kevin McCarthyCalifornia 
",Its no longer on versus the its versus socialism House Majority Leader,0.0,0,1,0,0
Immigration,cdnpoli,1289977533673254913,./data_Immigration/cdnpoli/tweets1/EebrujFUYAAEoy0.jpg,./annotation_data/Immigration/EebrujFUYAAEoy0.jpg,"Donald J #Trump, aka The Donald, media marvel, but...
FAILURE TO DELIVER. #uspoli #GOP #maga2020 #kag2020 #covidiots #covid19 #POTUS45 #FoxNews #cdnpoli https://t.co/ZQ5gA6PlpL"," MAPVEL AGE OF THE LAMPS 
",pi GE if AE ES,2.0,2,2,0,0
Political,Trump2020,1296968968289345536,./data_Political/Trump2020/tweets4/Ef_CZSBWkAAP-FV.jpg,./annotation_data/Political/Ef_CZSBWkAAP-FV.jpg,"“Straight Outta Tha Communist Manifesto”
#JoeBlow #JoeAndTheHoe #Trump2020 #Trump2020Landslide https://t.co/kHCLnLh0P0"," IF THIS WAS A ALBUM COVERWHAT WOULD YOU NAME ITO PARENTAL ADVISORY EXPLICIT CONTENT made with mematic 
",IF THIS WAS ALBUM COVER vee WOULD YOU IT ne Ge io oe date ne tA we Wo oS,1.0,0,1,0,0
AsianHate,ChinaLiedPeopleDied,1297404417201729537,./data_AsianHate/ChinaLiedPeopleDied/tweets4/EgFOZFXUMAAyyUm.jpg,./annotation_data/AsianHate/EgFOZFXUMAAyyUm.jpg,"@StateDept @SecPompeo Freedom is not free, we must stop #CCPChina to crushing our freedom and human rights, we all know that CCP is terrism. 
#ChinaLiedPeopleDied #CCP_is_terrorist https://t.co/bygxa32VyA"," CC The CCP lies and makes those who tell the truth UNUM disappear SECRETARY OF STATE MICHAEL R POMPEO Photo State DeptRon Przysucha 
",ae and those ne who tell the truth SECRETARY OF STATE,0.0,1,0,1,0
