topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR,label
ageism_12,covidiots,1336831659900014592,./tweet_data/ageism_12/covidiots/tweets2/Eo1hSdXXEAMDU3v.jpg,./annot_2000_no_politics/Eo1hSdXXEAMDU3v.jpg,"The damn virus went easy on her considering that she also ""admitted she smoked up until about 10 years ago and has rheumatoid arthritis fibromyalgia, osteoporosis, osteoarthritis and arthritis.""

#COVIDIOTS https://t.co/IyXS6yizrW https://t.co/0e5EYZZsL5",nan,ua potts ot oo ra em fake ee uso ort,0.0
asianhate_12,CCPVirus,1339242910995238912,./tweet_data/asianhate_12/CCPVirus/tweets3/EpXyVD9U0AEHR9M.jpg,./annot_2000_no_politics/EpXyVD9U0AEHR9M.jpg,Is there a need to say anything more? #Shameless #ShamelessWatchParty @PDChina @TibetThirdPole @China_Amb_India #CCP_is_terrorist #CCPVirus https://t.co/R3uzNcWm3n,nan,ee ee te sup port human right ha yl le ppo rl ory tibet face human right abuse 70 year,0.0
asianhate_2020-02,BoycottChina,1228027554055049217,./tweet_data/asianhate_2020-02/BoycottChina/tweets2/EQrTA6GXkAE3kKo.jpg,./annot_2000_no_politics/EQrTA6GXkAE3kKo.jpg,"@DisneyStudios Why don't Disney make a film on #hongkongpoliceterrorism? Cast this same actress would make a perfect audition. 
#BoycottMulan 
#BoycottChina https://t.co/8G6vK0l3bJ",nan,support oppression vote wallet,0.0
ageism_08,covidiots,1299967391258963968,./tweet_data/ageism_08/covidiots/tweets5/Egppc7JU0AEVo-2.jpg,./annot_2000_no_politics/Egppc7JU0AEVo-2.jpg,"They know!
#COVIDIOTS https://t.co/p7zIt0rVLQ",nan,project fi 1207 oe dr sanjay gupta fear attendee trumps rnc speech die,0.0
ageism_12,covidiots,1339224899899039744,./tweet_data/ageism_12/covidiots/tweets3/EpXh8dvXYAIG0If.jpg,./annot_2000_no_politics/EpXh8dvXYAIG0If.jpg,"@DmodosCutter @UKActionteam @Parents_Utd we will stick at around 400 dead per day till Christmas &amp; then after 5 days of do what you like Over Christmas we will all reap the whirlwind, of the 3rd and biggest covid19 wave #covid19uk #COVIDIOTS https://t.co/SmDnHV8b7H",nan,eel hiss oud ee en att ae stine,0.0
asianhate_12,ChiNazi,1334880592849092609,./tweet_data/asianhate_12/ChiNazi/tweets1/EoZyuQ0UwAAM7DI.jpg,./annot_2000_no_politics/EoZyuQ0UwAAM7DI.jpg,"@RepAGonzalez Clean the market.
#Chinazi https://t.co/FAZoaV2HGv",nan,tencent ee mle fy pv 280 zg comin ye ao es ks iy ci ps ws a4,0.0
vaccine_12,Plandemic,1337932094723530754,./tweet_data/vaccine_12/Plandemic/tweets2/EpFI-FXWEAMuJ1S.jpg,./annot_2000_no_politics/EpFI-FXWEAMuJ1S.jpg,"Billo's PLAN-demic on the front page awhile ago
For dummies who still beleive a self identified criminal eugenicist is after their well being 
#BillGates 
#vaccination 
#plandemic
#Scamdemic
#Fauci 
#Cabal 
#Luciferase
#COVID19 
#Truth https://t.co/Log5W6wInO",nan,sov pen den eae tie depopulation hrough force vaccination zero carbon solution ce al aa oe fe,0.0
ageism_04,covidiots,1252237209329008647,./tweet_data/ageism_04/covidiots/tweets3/EWDXF4PU4AIcS3t.jpg,./annot_2000_no_politics/EWDXF4PU4AIcS3t.jpg,@tribelaw @PCkak His supporters are idiots. They believe everything he says! #Cult45 #TrumpIsTheWORSTPresidentEVER #TrumpIsAnIdiot #25thAmendmentNow #TrumpLiesAmericansDie #COVIDIOTS https://t.co/24Ftvr37jq,nan,cgs cc wl dca oils le li rr al ae oral onc carte ae,1.0
immigration_2020-02,illegalaliens,1227960213224988679,./tweet_data/immigration_2020-02/illegalaliens/tweets2/EQqXTflXkAACjpC.jpg,./annot_2000_no_politics/EQqXTflXkAACjpC.jpg,@DailyCaller Just one step closer to allowing #IllegalAliens voting privileges! https://t.co/4NMS27RxaZ,nan,evidence persuade idiot mark twain ea az quotes,0.0
ageism_12,covidiots,1335427285915234305,./tweet_data/ageism_12/covidiots/tweets1/EohkCUOXcAMUYp3.jpg,./annot_2000_no_politics/EohkCUOXcAMUYp3.jpg,"The Sun says...
go shopping &amp; get pissed..
don't do what the Sun says &amp; cause a #COVID Bonanza. 

#Strictly #COVIDIOTS #Covid19UK
#Murdoch #Torymedia #NHS https://t.co/jmxgHgwxi1",nan,rr bonanza aft ld lal rl stupor saturday brits set 15bn blowout pub shop,0.0
