topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR,label
asianhate_2021-02,BoycottChina,1362339862058315776,./tweet_data/asianhate_2021-02/BoycottChina/tweets3/EugAzejXEAQjxLj.jpg,./annot_2000_no_politics/EugAzejXEAQjxLj.jpg,"@chris2x @VisitChinaNow #Tibet is said to be #China's largest open air prison, those promoting #travel to #OccupiedTibet are serving Chinese Propaganda, zero morality
https://t.co/fepholPwZQ #FreeTibet #FreeHK #XiJinping #ChineseVirus #HoldChinaAccountable #BoycottSinovac #BoycottSinopharm #BoycottChina https://t.co/ZwkYJLKSmB",nan,mem pon ras sl ab fu cus cu ns xs ii tierra aires,0.0
asianhate_04,ChineseVirus,1248681674432446465,./tweet_data/asianhate_04/ChineseVirus/tweets2/EVQ1WeAXQAICCIW.jpg,./annot_2000_no_politics/EVQ1WeAXQAICCIW.jpg,"#ChinaLiedAndPeopleDied

China manufactured &amp; Imported #ChineseVirus

Arrested Silenced &amp; Detained Innocent Doctors

Imposed brutal &amp; inhumane measures during Wuhan lockdown

Cooked numbers of infections &amp; deaths

Donates fake testing kits

Racially discriminates against Africans https://t.co/cTbbLno8im",nan,important phe debe ey 34 pe,1.0
asianhate_2020-02,ChinaVirus,1232872427790766085,./tweet_data/asianhate_2020-02/ChinaVirus/tweets4/ERwK769XUAET8lv.jpg,./annot_2000_no_politics/ERwK769XUAET8lv.jpg,"I remember my great grandma &amp; my grandma told me about the Spanish Flu pandemic of 1918 the deadliest in world history! It infected 1/3 of the world's population &amp; infected 500 million &amp; killed 675,000 Americans! Killed 500 mill worldwide #HistotyMatters #ChinaVirus https://t.co/zgdujPEXx2",nan,flu pandemic 918 cae oe eg tog gst oat qt srs ny bs pr ah val pa fa aa,0.0
vaccine_04,CoronaHoax,1254140981252890624,./tweet_data/vaccine_04/CoronaHoax/tweets4/EWeaf7lXYA8OkiE.png,./annot_2000_no_politics/EWeaf7lXYA8OkiE.png,truth #5G #CoronaHoax https://t.co/1JdxhTeIR0,nan,nt blantant symbology nt help truth hide plain sight bess vy oat ey,0.0
vaccine_04,antivaxx,1245394775655747591,./tweet_data/vaccine_04/antivaxx/tweets1/EUiH8lvX0AIElcW.jpg,./annot_2000_no_politics/EUiH8lvX0AIElcW.jpg,Sharing because we need vaccines!! I’ve always been pro-vaccine!!! Who needs to see this?? #antivaxx #antivaxxer #antivaxxmom #COVIDー19 #COVID19 #coronavirus #chaos https://t.co/LdD1Lf33ZN,nan,carlos rodriguez pa want world vaccine here world vaccine,0.0
immigration_2021-04,BorderCrisis,1381047187388399630,./tweet_data/immigration_2021-04/BorderCrisis/tweets2/Eyp3GO0XAAIPAfe.jpg,./annot_2000_no_politics/Eyp3GO0XAAIPAfe.jpg,"What planet do these people live on??

House Speaker Nancy Pelosi: ""We're on a good path at the border under the leadership of President Biden ... We were in a very bad situation under the Trump administration.""
#BorderCrisis #IllegalInvasion #Pelosi #MexicanBorder #MissTrump? https://t.co/OxhloHrilU",nan,ss ent toa tae ate oad et dn eal fact good path border,0.0
asianhate_04,Wuhanvirus,1247921329065476096,./tweet_data/asianhate_04/Wuhanvirus/tweets2/EVGBzZrUUAU6HZ6.jpg,./annot_2000_no_politics/EVGBzZrUUAU6HZ6.jpg,"$1 SHIPPING SALE??? YES!!!
YES!!!
A THOUSAND TIMES YES!!!
.
.
#letterpress #greetingcards #sale #onlineshopping #quarantine #coronavirus #kungflu #wuhanvirus #minnesota #minneapolis #mnmade #laughter #laughteristhebestmedicine #adultdiapers #mothersday #cards https://t.co/5d63cvqxNT",nan,xx wi wm vs ea ey ns sk ll change diaper,0.0
asianhate_08,ChinaVirus,1298664277964763136,./tweet_data/asianhate_08/ChinaVirus/tweets4/EgXIRiXVoAE-zuY.jpg,./annot_2000_no_politics/EgXIRiXVoAE-zuY.jpg,My type of restaurant #covid19 #ChinaVirus #COVID__19 https://t.co/I0Gn5hPkaO,nan,c2 lovin care mod cire sandwich ra ae ee ee oe serve pork serve rere sheep rr stupid mask ee,0.0
asianhate_08,CCP_is_terrorist,1293550161956724737,./tweet_data/asianhate_08/CCP_is_terrorist/tweets2/EfOdAnmU4AA1ffy.jpg,./annot_2000_no_politics/EfOdAnmU4AA1ffy.jpg,"@SolomonYue China Biden is so gross 
#CCP_is_terrorist https://t.co/rxzlB7b9Rr",nan,ah de oe 3s fy ay os va foster good tween ae,0.0
ageism_2021-04,covidiots,1381309744170737664,./tweet_data/ageism_2021-04/covidiots/tweets2/Eytl47DVIAAWztX.jpg,./annot_2000_no_politics/Eytl47DVIAAWztX.jpg,"Picture speaks a thousand words!!

The security guard standing behind is wearing mask but the so called intellects, politicians, speakers are not!! And then we wonder why so many cases are spreading! Because of leaders like these it is spreading rapidly.

#COVIDIOTS https://t.co/nPqRSUUYhc https://t.co/0K25KBOzmQ",nan,atm east india es vt gs nos se en ce ww nia,0.0
