topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR,label
politics_08,AmericaOrTrump,1292191012010377216,./tweet_data/politics_08/AmericaOrTrump/tweets2/Ee7I382UEAEpP1s.jpg,./annot_3000_hate/Ee7I382UEAEpP1s.jpg,@JHoganGidley @realDonaldTrump DO YOUR HOMEWORK before TRYING to state facts #Idiocracy #AmericaOrTrump  #itiswhatitis #RepublicansAgainstTrump https://t.co/RQ5OcfLMMz,GIFSEC.com ,cease,0.0
politics_2020-02,kag,1231747557551988737,./tweet_data/politics_2020-02/kag/tweets4/ERgL31cXsAUyd8l.jpg,./annot_3000_hate/ERgL31cXsAUyd8l.jpg,"When your cult leader suddenly appears out of nowhere! 😂😂
#MAGA #KAG 

All Captions are welcome and I'll create the meme: https://t.co/CoUaixN7GL",Reuters/Brian Snyder) the silent maj STANDS W PTRU INIVE MP ,fe yw ta snyder,0.0
politics_12,TrumpIsALaughingStock,1342605729333727234,./tweet_data/politics_12/TrumpIsALaughingStock/tweets4/EqHkyuMXYAAy9Sf.jpg,./annot_3000_hate/EqHkyuMXYAAy9Sf.jpg,my fav tweets from @ConservBlue2020 in recent days. thanks for the laughs in these sobering times. #tempertantrumTrump #lameducktrump #TrumpIsALaughingStock https://t.co/POv3rx4qcC,CB- •.. @ConservBlue2020 Trump pardoned the swamp! 01:00 · 12/24/20 · Twitter Web App 30 Retweets 3 Quote Tweets 206 Likes ,cb trump pardon swamp 0100 twitter web app 30 retweets quote tweet 206 like,0.0
politics_08,TrumpIsACompleteFailure,1293664787721785346,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets2/EfQFRKBWAAUqTz3.jpg,./annot_3000_hate/EfQFRKBWAAUqTz3.jpg,@marcorubio Wow..could you guys have screwed this up any worse? #coronavirus #TrumpIsACompleteFailure #TrumpIsNotWell https://t.co/PRmgiLhrTS,STAR TRIBUNE DEPENDABLE! THEN SENIORS TRUMP FOR NOW EXPENDABLE! ,wy cp cs senior te ies sa eo,1.0
asianhate_2020-02,BoycottChina,1225569749469405187,./tweet_data/asianhate_2020-02/BoycottChina/tweets1/EQIZKcxXYAIWYuQ.jpg,./annot_3000_hate/EQIZKcxXYAIWYuQ.jpg,"Red #wine made in #Australia 🍷
Keep saying NO to #China products.
#AnywherebutChina 
#ABC_challenge 
#BoycottChina

@Wainwainread 
@NKY_HONGKONGER 
@dllmchpopo https://t.co/C3xwDveYBO","SOUTH EASTERN AUSTRALIA determined and resourceful. He knew WAiCE 1828 GEORGE WYNDHAM BIN 444. JAPAN BI 2015 CABERNET SAUVIGNON 2013 George Wyndham was bold, Ris own mind. This is his winc. MED ",george wyndham cabernet sauvignon ly eee ary,0.0
politics_08,Trump2020Landslide,1299789261374447617,./tweet_data/politics_08/Trump2020Landslide/tweets5/EgnHcamXgAgKqYI.jpg,./annot_3000_hate/EgnHcamXgAgKqYI.jpg,"It's the ""NOPE Mobile""!

#SleepyJoeBiden #Trump2020Landslide #Trump2020 #MAGA #KAG #Trump2020LandslideVictory #RedWave2020 https://t.co/DhTkJFNGGf",BIDEN 2020 CAMPAIGN TOUR MINNEAPOLIS • KENOSHA PORTLAND • SEATTLE EASILY STARTLED DO NOT BANG GLASS BIDEN PRESIDENT @ExJon ,2020 gn tour lte tsun cty portland seattle ly ie ce se,1.0
politics_04,Trump2020Landslide,1249732113831624706,./tweet_data/politics_04/Trump2020Landslide/tweets2/EVfwu2IUUAAmfZX.jpg,./annot_3000_hate/EVfwu2IUUAAmfZX.jpg,"@joelpollak @BreitbartNews Hope Biden does, because the majority of Americans will not agree. #Trump2020LandSlide
#1A #2ADefenders https://t.co/j5ERLTzV7V",GOD CREATED MAN AND WOMAN DEMOCRATS CREATED ALL THE OTHER GENDERS ,ja hy pl ye 44 wi oe mls fe pee ibe gender,1.0
asianhate_12,CCP_is_terrorist,1333937660310679554,./tweet_data/asianhate_12/CCP_is_terrorist/tweets1/EoMZN4CVgAEyrYu.jpg,./annot_3000_hate/EoMZN4CVgAEyrYu.jpg,@SenRickScott @nytimes #CCP_is_terrorist  be hostages or be wise. https://t.co/lcqCE36uLb,"Chinese Ministry of Foreign Affairs stry or No matter they have five eyes or 10 eyes, as long as they dare to harm China's sovereignty, security and development interests, [they should] be careful not to get their eyes jabbed and blinded. ",vet zie ee le matter eye 10 eye long dare harm chinas sovereignty security development interest careful eye jabbed blind,0.0
politics_08,kag,1299062366986878977,./tweet_data/politics_08/kag/tweets4/EgcyVh6UYAEVIh9.jpg,./annot_3000_hate/EgcyVh6UYAEVIh9.jpg,#SystemicRacism is a myth #Trump2020 #KAG #KAG2020 #WW1WGA https://t.co/azVuXF6vUJ,"After we protest how oppressed we are, let's take my private jet back to my mansion so I can show you my latest sports car. Rich Athletes ",sl ke protest oppress let ey wy private jet mansion wy late sport car,0.0
politics_04,kag,1246072328233971714,./tweet_data/politics_04/kag/tweets1/EUrwKh5UMAAa6oj.jpg,./annot_3000_hate/EUrwKh5UMAAa6oj.jpg,"@mickelodoole @lugohely @USA_EaglesUp @MsfFlynnerland @RandallJ77070 @Ecomemory1 @pittsburghbuz @WenMaMa2 @KarenLadybug1 @FarRight1_2 @ec_kag @MeltingInMarana @Eugee71 @LostInT94264591 @sclcookie @DLexLuther @K101st @AMade910 @idrathercall @Dark2LightIt Thank you, Mickey!

🇺🇸Thank you for connecting TRUMP Supporters &amp; spreading the American message.  

🇺🇸Please follow all &amp; retreat!  #KAG

🇺🇸Have a Fantastic #TRUMP2020LandsideVictory year!

                                 God Bless America! https://t.co/EAIvZ3Mul3",Grateful to be an American ,sr ee se ee eee iff ui tue es vsl eee cc cl american,0.0
